Planner,Domain,Instance,S0,S1,S2,S3
madagascar,barman,instance-01.pddl,0.0,0.0,1.0,0.6280190878759354
madagascar,barman,instance-02.pddl,0.0,0.0,0.5023889349449009,1.0
madagascar,barman,instance-03.pddl,0.0,0.0,1.0,0.0
madagascar,barman,instance-04.pddl,0.6300821515630968,0.5198738102791008,1.0,0.744032629877297
madagascar,barman,instance-07.pddl,0.0,0.0,0.0,0.0
madagascar,barman,instance-08.pddl,0.0,0.0,1.0,0.0
madagascar,barman,instance-09.pddl,1.0,0.7739537000257762,0.9069540950465746,0.9887012746928492
madagascar,barman,instance-11.pddl,0.0,0.8792660073148972,1.0,0.8544473379558691
madagascar,barman,instance-12.pddl,0.0,0.0,0.0,1.0
madagascar,barman,instance-13.pddl,0.0,0.0,0.0,0.0
madagascar,barman,instance-14.pddl,0.0,0.5483950762930209,1.0,0.9046945491089552
madagascar,barman,instance-16.pddl,0.0,0.4214429877580604,1.0,0.37037885695996836
madagascar,barman,instance-17.pddl,0.6744800862760955,0.4983056309326917,0.6441669201304651,1.0
madagascar,barman,instance-18.pddl,0.4800442984922111,0.4190010707402382,0.5436763654314796,1.0
madagascar,barman,instance-19.pddl,0.0,0.0,1.0,0.0
madagascar,depots,instance-01.pddl,0.9118325098834864,0.9085813691021002,1.0,0.9321001963661707
madagascar,depots,instance-02.pddl,0.911498077929703,0.8905380466822111,1.0,0.925086089210681
madagascar,depots,instance-03.pddl,0.9124266929119481,0.8574446745700555,1.0,0.9198671096422162
madagascar,depots,instance-04.pddl,0.9064887289998897,0.8998153343890595,1.0,0.9205617233136938
madagascar,depots,instance-07.pddl,0.9137404562441805,0.8972144825391639,1.0,0.9329559619381326
madagascar,depots,instance-08.pddl,0.9180532959763898,0.9021101849694645,1.0,0.9337945181043519
madagascar,depots,instance-09.pddl,0.9151948707806259,0.8940615355003734,1.0,0.9364970633145598
madagascar,depots,instance-11.pddl,0.8892344439609647,0.8902752653811793,1.0,0.9135501161086812
madagascar,depots,instance-12.pddl,0.9641727012014502,0.9053993407533295,1.0,0.9131776569947415
madagascar,depots,instance-13.pddl,0.910795315673252,0.9115313811975024,1.0,0.9363851185362477
madagascar,depots,instance-14.pddl,0.918891289724062,0.9103496907961447,1.0,0.9320852970090039
madagascar,depots,instance-16.pddl,0.8606256846918302,0.8926685301285038,1.0,0.9169394678804265
madagascar,depots,instance-17.pddl,0.9291986261215562,0.9211423398201034,1.0,0.9447992441720914
madagascar,depots,instance-18.pddl,0.936611836554074,0.9362212783935269,1.0,0.9363483905480163
madagascar,depots,instance-19.pddl,0.881154305741653,0.9004795776832841,1.0,0.9198765692794737
madagascar,ricochet-robots,instance-01.pddl,0.0,0.0,0.0,0.0
madagascar,ricochet-robots,instance-02.pddl,0.0,0.0,0.0,0.0
madagascar,ricochet-robots,instance-03.pddl,0.0,0.0,0.0,0.0
madagascar,ricochet-robots,instance-04.pddl,0.0,0.0,0.0,0.0
madagascar,ricochet-robots,instance-07.pddl,0.0,0.0,0.0,0.0
madagascar,ricochet-robots,instance-08.pddl,0.0,0.0,0.0,0.0
madagascar,ricochet-robots,instance-09.pddl,0.0,0.0,0.0,0.0
madagascar,ricochet-robots,instance-11.pddl,0.0,0.0,0.0,0.0
madagascar,ricochet-robots,instance-12.pddl,0.0,0.0,0.0,0.0
madagascar,ricochet-robots,instance-13.pddl,0.0,0.0,0.0,0.0
madagascar,ricochet-robots,instance-14.pddl,0.0,0.0,0.0,0.0
madagascar,ricochet-robots,instance-16.pddl,0.0,0.0,0.0,0.0
madagascar,ricochet-robots,instance-17.pddl,0.0,0.0,0.0,0.0
madagascar,ricochet-robots,instance-18.pddl,0.0,0.0,0.0,0.0
madagascar,ricochet-robots,instance-19.pddl,0.0,0.0,0.0,0.0
madagascar,snake,instance-01.pddl,0.8867493703336619,0.980085075818819,0.9730334080524808,1.0
madagascar,snake,instance-02.pddl,0.48763596046319674,0.888578616073022,0.993085717505178,1.0
madagascar,snake,instance-03.pddl,0.5143603417046789,0.9483420045216849,0.7985455037908663,1.0
madagascar,snake,instance-04.pddl,0.0,0.0,0.0,0.0
madagascar,snake,instance-07.pddl,0.8891625635539413,0.949431533764303,1.0,0.922521735428687
madagascar,snake,instance-08.pddl,0.0,1.0,0.6951154808320149,0.8108706020796508
madagascar,snake,instance-09.pddl,0.0,1.0,0.0,0.9459695996649968
madagascar,snake,instance-11.pddl,0.859309570084226,0.9695070550948207,1.0,0.9498725660902374
madagascar,snake,instance-12.pddl,0.9049670350435342,1.0,0.9196200661276361,0.0
madagascar,snake,instance-13.pddl,0.0,0.0,0.0,0.0
madagascar,snake,instance-14.pddl,0.0,0.0,0.0,0.0
madagascar,snake,instance-16.pddl,0.0,0.0,1.0,0.7028409674684233
madagascar,snake,instance-17.pddl,0.0,0.0,0.0,0.0
madagascar,snake,instance-18.pddl,0.0,0.0,0.0,0.0
madagascar,snake,instance-19.pddl,0.0,0.0,0.0,0.0
madagascar,visitall,instance-01.pddl,0.0,0.0,0.0,0.0
madagascar,visitall,instance-02.pddl,0.0,0.0,0.0,0.0
madagascar,visitall,instance-03.pddl,0.0,0.0,0.0,0.0
madagascar,visitall,instance-04.pddl,0.0,0.0,0.0,0.0
madagascar,visitall,instance-07.pddl,0.0,0.0,0.0,0.0
madagascar,visitall,instance-08.pddl,0.0,0.0,0.0,0.0
madagascar,visitall,instance-09.pddl,0.0,0.0,0.0,0.0
madagascar,visitall,instance-11.pddl,0.0,0.0,0.0,0.0
madagascar,visitall,instance-12.pddl,0.0,0.0,0.0,0.0
madagascar,visitall,instance-13.pddl,0.0,0.0,0.0,0.0
madagascar,visitall,instance-14.pddl,0.0,0.0,0.0,0.0
madagascar,visitall,instance-16.pddl,0.0,0.0,0.0,0.0
madagascar,visitall,instance-17.pddl,0.0,0.0,0.0,0.0
madagascar,visitall,instance-18.pddl,0.0,0.0,0.0,0.0
madagascar,visitall,instance-19.pddl,0.0,0.0,0.0,0.0
