Planner,Domain,Instance,T_star,Source_Stage
lama,visitall,instance-14.pddl,45.119902,Feedback_Loop2 (Claude Opus 4.6)
lama,visitall,instance-16.pddl,53.639604,Feedback_Loop3 (Claude Opus 4.6)
lama,visitall,instance-17.pddl,59.55687,Feedback_Loop2 (Claude Opus 4.6)
lama,visitall,instance-18.pddl,61.164291,Feedback_Loop3 (Claude Opus 4.6)
lama,visitall,instance-19.pddl,65.584278,Feedback_Loop3 (Claude Opus 4.6)
decstar,barman,instance-01.pddl,UNSOLVED,N/A
decstar,barman,instance-02.pddl,UNSOLVED,N/A
decstar,barman,instance-03.pddl,114.714258,Arch_Aware (Claude Opus 4.6)
decstar,barman,instance-04.pddl,204.609233,Cross_Test (GPT-5.4)
decstar,barman,instance-07.pddl,UNSOLVED,N/A
decstar,barman,instance-08.pddl,UNSOLVED,N/A
decstar,barman,instance-09.pddl,UNSOLVED,N/A
decstar,barman,instance-11.pddl,UNSOLVED,N/A
decstar,barman,instance-12.pddl,UNSOLVED,N/A
decstar,barman,instance-13.pddl,UNSOLVED,N/A
decstar,barman,instance-14.pddl,76.856872,Cross_Test (GPT-5.4)
decstar,barman,instance-16.pddl,UNSOLVED,N/A
decstar,barman,instance-17.pddl,2.557545,Arch_Aware (GPT-5.4)
decstar,barman,instance-18.pddl,UNSOLVED,N/A
decstar,barman,instance-19.pddl,UNSOLVED,N/A
decstar,depots,instance-01.pddl,0.725008,Arch_Aware (Claude Opus 4.6)
decstar,depots,instance-02.pddl,0.841162,Arch_Aware (Claude Opus 4.6)
decstar,depots,instance-03.pddl,1.003571,Cross_Test (GPT-5.4)
decstar,depots,instance-04.pddl,1.63873,Arch_Aware (Claude Opus 4.6)
decstar,depots,instance-07.pddl,1.067888,Arch_Aware (Claude Opus 4.6)
decstar,depots,instance-08.pddl,1.534242,Arch_Aware (Claude Opus 4.6)
decstar,depots,instance-09.pddl,52.713629,Cross_Test (DeepSeek-R1)
decstar,depots,instance-11.pddl,2.319902,Arch_Aware (Claude Opus 4.6)
decstar,depots,instance-12.pddl,UNSOLVED,N/A
decstar,depots,instance-13.pddl,1.358909,Arch_Aware (DeepSeek-R1)
decstar,depots,instance-14.pddl,1.786555,Cross_Test (Gemini 3.1 Pro)
