Planner,Domain,Instance,IPC_Score,LLM
lama,barman,instance-09.pddl,0.9761828487135836,Gemini 3.1 Pro
lama,barman,instance-11.pddl,0.9645472747653812,Gemini 3.1 Pro
lama,barman,instance-12.pddl,0.9775428042912662,Gemini 3.1 Pro
lama,barman,instance-13.pddl,0.9794143334009897,Gemini 3.1 Pro
lama,barman,instance-14.pddl,0.9403416794153168,Gemini 3.1 Pro
lama,barman,instance-16.pddl,0.9830733055367461,Gemini 3.1 Pro
lama,barman,instance-17.pddl,0.957137215841573,Gemini 3.1 Pro
lama,barman,instance-18.pddl,0.9516992594268496,Gemini 3.1 Pro
lama,barman,instance-19.pddl,0.9728934642089564,Gemini 3.1 Pro
lama,depots,instance-01.pddl,0.7503203609815211,DeepSeek-R1
lama,depots,instance-02.pddl,0.7350835111481885,DeepSeek-R1
lama,depots,instance-03.pddl,0.7098115042289991,DeepSeek-R1
lama,depots,instance-04.pddl,0.7174493386893942,Gemini 3.1 Pro
lama,depots,instance-07.pddl,0.7296648630298568,Gemini 3.1 Pro
lama,depots,instance-08.pddl,0.6680862126637748,DeepSeek-R1
lama,depots,instance-09.pddl,0.5696355322543336,DeepSeek-R1
lama,depots,instance-11.pddl,0.5653074597483587,Gemini 3.1 Pro
lama,depots,instance-12.pddl,0.520692468681211,Gemini 3.1 Pro
lama,depots,instance-13.pddl,0.7248980466738882,Gemini 3.1 Pro
lama,depots,instance-14.pddl,0.7122091574801653,DeepSeek-R1
lama,depots,instance-16.pddl,0.7109878082667007,Gemini 3.1 Pro
lama,depots,instance-17.pddl,0.7179368111273338,DeepSeek-R1
lama,depots,instance-18.pddl,0.56300637315082,Gemini 3.1 Pro
lama,depots,instance-19.pddl,0.588324658132119,Gemini 3.1 Pro
lama,ricochet-robots,instance-01.pddl,0.8097322060711212,Gemini 3.1 Pro
lama,ricochet-robots,instance-02.pddl,0.907278637526566,Gemini 3.1 Pro
lama,ricochet-robots,instance-03.pddl,0.4612546297683628,Gemini 3.1 Pro
lama,ricochet-robots,instance-04.pddl,0.0,GPT-5.4
lama,ricochet-robots,instance-07.pddl,0.8847421422658923,Gemini 3.1 Pro
lama,ricochet-robots,instance-08.pddl,0.4843184821980068,Gemini 3.1 Pro
lama,ricochet-robots,instance-09.pddl,0.0,GPT-5.4
lama,ricochet-robots,instance-11.pddl,0.0,GPT-5.4
lama,ricochet-robots,instance-12.pddl,0.0,GPT-5.4
lama,ricochet-robots,instance-13.pddl,0.6650181434757141,Gemini 3.1 Pro
lama,ricochet-robots,instance-14.pddl,1.0,Gemini 3.1 Pro
lama,ricochet-robots,instance-16.pddl,0.0,GPT-5.4
lama,ricochet-robots,instance-17.pddl,0.0,GPT-5.4
lama,ricochet-robots,instance-18.pddl,0.0,GPT-5.4
lama,ricochet-robots,instance-19.pddl,0.0,GPT-5.4
lama,snake,instance-01.pddl,0.7853410539476267,Claude Opus 4.6
lama,snake,instance-02.pddl,0.39773316819061166,GPT-5.4
lama,snake,instance-03.pddl,0.0,GPT-5.4
lama,snake,instance-04.pddl,0.0,GPT-5.4
lama,snake,instance-07.pddl,0.0,GPT-5.4
lama,snake,instance-08.pddl,0.0,GPT-5.4
lama,snake,instance-09.pddl,0.0,GPT-5.4
lama,snake,instance-11.pddl,0.0,GPT-5.4
lama,snake,instance-12.pddl,0.0,GPT-5.4
lama,snake,instance-13.pddl,0.0,GPT-5.4
lama,snake,instance-14.pddl,0.0,GPT-5.4
lama,snake,instance-16.pddl,0.0,GPT-5.4
lama,snake,instance-17.pddl,0.0,GPT-5.4
lama,snake,instance-18.pddl,0.0,GPT-5.4
lama,snake,instance-19.pddl,0.0,GPT-5.4
lama,visitall,instance-01.pddl,0.686509914004633,Gemini 3.1 Pro
lama,visitall,instance-02.pddl,0.6930434683536971,Gemini 3.1 Pro
lama,visitall,instance-03.pddl,0.6754308943374667,GPT-5.4
lama,visitall,instance-04.pddl,0.6739480872515191,Claude Opus 4.6
