Planner,Domain,Instance,IPC_Score,LLM,Iteration
lama,barman,instance-08.pddl,1.0,DeepSeek-R1,2
lama,barman,instance-09.pddl,1.0,DeepSeek-R1,3
lama,barman,instance-11.pddl,1.0,DeepSeek-R1,3
lama,barman,instance-12.pddl,1.0,Claude Opus 4.6,2
lama,barman,instance-13.pddl,0.9975003652470508,DeepSeek-R1,1
lama,barman,instance-14.pddl,1.0,DeepSeek-R1,1
lama,barman,instance-16.pddl,0.9964402963823128,DeepSeek-R1,3
lama,barman,instance-17.pddl,1.0,DeepSeek-R1,2
lama,barman,instance-18.pddl,0.9971369342995594,DeepSeek-R1,2
lama,barman,instance-19.pddl,1.0,Claude Opus 4.6,2
lama,depots,instance-01.pddl,0.7853652796571555,Claude Opus 4.6,2
lama,depots,instance-02.pddl,0.7726388075572891,Claude Opus 4.6,3
lama,depots,instance-03.pddl,0.737969662057044,DeepSeek-R1,1
lama,depots,instance-04.pddl,0.7423804353259841,Claude Opus 4.6,3
lama,depots,instance-07.pddl,0.7634703049636913,Claude Opus 4.6,1
lama,depots,instance-08.pddl,0.6838632113127555,Claude Opus 4.6,3
lama,depots,instance-09.pddl,0.5712070920660481,GPT-5.4,3
lama,depots,instance-11.pddl,0.5709905002616212,Claude Opus 4.6,3
lama,depots,instance-12.pddl,0.5250935503976203,Gemini 3.1 Pro,2
lama,depots,instance-13.pddl,0.7436628384717072,Gemini 3.1 Pro,2
lama,depots,instance-14.pddl,0.7365286053644128,Gemini 3.1 Pro,2
lama,depots,instance-16.pddl,0.7308605386521769,Gemini 3.1 Pro,2
lama,depots,instance-17.pddl,0.7354528817710505,Claude Opus 4.6,3
lama,depots,instance-18.pddl,0.5659853622261067,Claude Opus 4.6,1
lama,depots,instance-19.pddl,0.591554924692681,Claude Opus 4.6,1
lama,ricochet-robots,instance-01.pddl,0.8133330567827219,GPT-5.4,2
lama,ricochet-robots,instance-02.pddl,0.9035644537736662,Gemini 3.1 Pro,3
lama,ricochet-robots,instance-03.pddl,0.46097771775290675,Gemini 3.1 Pro,3
lama,ricochet-robots,instance-04.pddl,0.0,DeepSeek-R1,1
lama,ricochet-robots,instance-07.pddl,0.8837271067541341,Gemini 3.1 Pro,3
lama,ricochet-robots,instance-08.pddl,0.4835960665165949,Claude Opus 4.6,1
lama,ricochet-robots,instance-09.pddl,0.0,DeepSeek-R1,1
lama,ricochet-robots,instance-11.pddl,0.0,DeepSeek-R1,1
lama,ricochet-robots,instance-12.pddl,0.0,DeepSeek-R1,1
lama,ricochet-robots,instance-13.pddl,0.6638084135556905,Gemini 3.1 Pro,3
lama,ricochet-robots,instance-14.pddl,0.9931719632152086,Claude Opus 4.6,1
lama,ricochet-robots,instance-16.pddl,0.0,DeepSeek-R1,1
lama,ricochet-robots,instance-17.pddl,0.0,DeepSeek-R1,1
lama,ricochet-robots,instance-18.pddl,0.0,DeepSeek-R1,1
lama,ricochet-robots,instance-19.pddl,0.0,DeepSeek-R1,1
lama,snake,instance-01.pddl,0.805026925402831,DeepSeek-R1,1
lama,snake,instance-02.pddl,0.3987120602651732,DeepSeek-R1,1
lama,snake,instance-03.pddl,0.0,DeepSeek-R1,1
lama,snake,instance-04.pddl,0.0,DeepSeek-R1,1
lama,snake,instance-07.pddl,0.0,DeepSeek-R1,1
lama,snake,instance-08.pddl,0.0,DeepSeek-R1,1
lama,snake,instance-09.pddl,0.0,DeepSeek-R1,1
lama,snake,instance-11.pddl,0.0,DeepSeek-R1,1
lama,snake,instance-12.pddl,0.0,DeepSeek-R1,1
lama,snake,instance-13.pddl,0.0,DeepSeek-R1,1
lama,snake,instance-14.pddl,0.0,DeepSeek-R1,1
lama,snake,instance-16.pddl,0.0,DeepSeek-R1,1
lama,snake,instance-17.pddl,0.0,DeepSeek-R1,1
lama,snake,instance-18.pddl,0.0,DeepSeek-R1,1
lama,snake,instance-19.pddl,0.0,DeepSeek-R1,1
lama,visitall,instance-01.pddl,0.7050943407407957,Claude Opus 4.6,2
lama,visitall,instance-02.pddl,0.7166947676110902,Claude Opus 4.6,3
lama,visitall,instance-03.pddl,0.692323743670248,Claude Opus 4.6,3
lama,visitall,instance-04.pddl,0.6945316736159182,Claude Opus 4.6,3
lama,visitall,instance-07.pddl,0.693533224438507,Claude Opus 4.6,3
lama,visitall,instance-08.pddl,0.6991799633046637,Claude Opus 4.6,3
lama,visitall,instance-09.pddl,0.6984287841896747,Claude Opus 4.6,3
lama,visitall,instance-11.pddl,0.7132599415823537,Claude Opus 4.6,3
lama,visitall,instance-12.pddl,0.7156632933257541,Claude Opus 4.6,2
lama,visitall,instance-13.pddl,0.7286599251367193,Claude Opus 4.6,3
lama,visitall,instance-14.pddl,0.8087868611175176,Claude Opus 4.6,2
lama,visitall,instance-16.pddl,0.7296393584920587,Claude Opus 4.6,3
lama,visitall,instance-17.pddl,0.7048837168574662,Claude Opus 4.6,2
lama,visitall,instance-18.pddl,0.8116276271001576,Claude Opus 4.6,3
lama,visitall,instance-19.pddl,0.7304445696692878,Claude Opus 4.6,3
madagascar,barman,instance-01.pddl,0.3215682394975415,GPT-5.4,2
madagascar,barman,instance-02.pddl,0.5054542002761226,Gemini 3.1 Pro,1
