Planner,Domain,Instance,IPC_Score,LLM,Prompt_Type,Prompt_ID
decstar,depots,instance-01.pddl,1.0,Claude Opus 4.6,Arch_Aware,2.0
decstar,depots,instance-02.pddl,1.0,Claude Opus 4.6,Arch_Aware,2.0
decstar,depots,instance-03.pddl,1.0,GPT-5.4,Cross_Test,4.0
decstar,depots,instance-04.pddl,1.0,Claude Opus 4.6,Arch_Aware,2.0
decstar,depots,instance-07.pddl,1.0,Claude Opus 4.6,Arch_Aware,2.0
decstar,depots,instance-08.pddl,1.0,Claude Opus 4.6,Arch_Aware,2.0
decstar,depots,instance-09.pddl,1.0,DeepSeek-R1,Cross_Test,4.0
decstar,depots,instance-11.pddl,1.0,Claude Opus 4.6,Arch_Aware,2.0
decstar,depots,instance-12.pddl,0.0,GPT-5.4,Arch_Aware,2.0
decstar,depots,instance-13.pddl,1.0,DeepSeek-R1,Arch_Aware,2.0
decstar,depots,instance-14.pddl,1.0,Gemini 3.1 Pro,Cross_Test,1.0
decstar,depots,instance-16.pddl,1.0,Gemini 3.1 Pro,Cross_Test,1.0
decstar,depots,instance-17.pddl,1.0,Gemini 3.1 Pro,Cross_Test,1.0
decstar,depots,instance-18.pddl,1.0,GPT-5.4,Cross_Test,1.0
decstar,depots,instance-19.pddl,1.0,GPT-5.4,Cross_Test,4.0
decstar,ricochet-robots,instance-01.pddl,0.0,GPT-5.4,Arch_Aware,2.0
decstar,ricochet-robots,instance-02.pddl,1.0,Gemini 3.1 Pro,Cross_Test,3.0
decstar,ricochet-robots,instance-03.pddl,1.0,Gemini 3.1 Pro,Arch_Aware,2.0
decstar,ricochet-robots,instance-04.pddl,0.0,GPT-5.4,Arch_Aware,2.0
decstar,ricochet-robots,instance-07.pddl,1.0,Gemini 3.1 Pro,Arch_Aware,2.0
decstar,ricochet-robots,instance-08.pddl,0.0,GPT-5.4,Arch_Aware,2.0
decstar,ricochet-robots,instance-09.pddl,0.9998180692827143,Gemini 3.1 Pro,Cross_Test,1.0
decstar,ricochet-robots,instance-11.pddl,0.0,GPT-5.4,Arch_Aware,2.0
decstar,ricochet-robots,instance-12.pddl,0.0,GPT-5.4,Arch_Aware,2.0
decstar,ricochet-robots,instance-13.pddl,1.0,Gemini 3.1 Pro,Cross_Test,3.0
decstar,ricochet-robots,instance-14.pddl,0.0,GPT-5.4,Arch_Aware,2.0
decstar,ricochet-robots,instance-16.pddl,0.0,GPT-5.4,Arch_Aware,2.0
decstar,ricochet-robots,instance-17.pddl,0.0,GPT-5.4,Arch_Aware,2.0
decstar,ricochet-robots,instance-18.pddl,0.0,GPT-5.4,Arch_Aware,2.0
decstar,ricochet-robots,instance-19.pddl,0.0,GPT-5.4,Arch_Aware,2.0
decstar,snake,instance-01.pddl,1.0,Gemini 3.1 Pro,Cross_Test,1.0
decstar,snake,instance-02.pddl,1.0,Claude Opus 4.6,Cross_Test,4.0
decstar,snake,instance-03.pddl,1.0,Claude Opus 4.6,Cross_Test,4.0
decstar,snake,instance-04.pddl,0.0,GPT-5.4,Arch_Aware,2.0
decstar,snake,instance-07.pddl,0.0,GPT-5.4,Arch_Aware,2.0
decstar,snake,instance-08.pddl,0.0,GPT-5.4,Arch_Aware,2.0
decstar,snake,instance-09.pddl,0.0,GPT-5.4,Arch_Aware,2.0
decstar,snake,instance-11.pddl,0.0,GPT-5.4,Arch_Aware,2.0
decstar,snake,instance-12.pddl,0.0,GPT-5.4,Arch_Aware,2.0
decstar,snake,instance-13.pddl,0.0,GPT-5.4,Arch_Aware,2.0
decstar,snake,instance-14.pddl,0.0,GPT-5.4,Arch_Aware,2.0
decstar,snake,instance-16.pddl,0.0,GPT-5.4,Arch_Aware,2.0
decstar,snake,instance-17.pddl,0.0,GPT-5.4,Arch_Aware,2.0
decstar,snake,instance-18.pddl,0.0,GPT-5.4,Arch_Aware,2.0
decstar,snake,instance-19.pddl,0.0,GPT-5.4,Arch_Aware,2.0
decstar,visitall,instance-01.pddl,0.0,GPT-5.4,Arch_Aware,2.0
decstar,visitall,instance-02.pddl,0.0,GPT-5.4,Arch_Aware,2.0
decstar,visitall,instance-03.pddl,0.0,GPT-5.4,Arch_Aware,2.0
decstar,visitall,instance-04.pddl,0.0,GPT-5.4,Arch_Aware,2.0
decstar,visitall,instance-07.pddl,0.0,GPT-5.4,Arch_Aware,2.0
decstar,visitall,instance-08.pddl,0.0,GPT-5.4,Arch_Aware,2.0
decstar,visitall,instance-09.pddl,0.0,GPT-5.4,Arch_Aware,2.0
decstar,visitall,instance-11.pddl,0.0,GPT-5.4,Arch_Aware,2.0
decstar,visitall,instance-12.pddl,0.0,GPT-5.4,Arch_Aware,2.0
decstar,visitall,instance-13.pddl,0.0,GPT-5.4,Arch_Aware,2.0
decstar,visitall,instance-14.pddl,0.0,GPT-5.4,Arch_Aware,2.0
decstar,visitall,instance-16.pddl,0.0,GPT-5.4,Arch_Aware,2.0
decstar,visitall,instance-17.pddl,0.0,GPT-5.4,Arch_Aware,2.0
decstar,visitall,instance-18.pddl,0.0,GPT-5.4,Arch_Aware,2.0
decstar,visitall,instance-19.pddl,0.0,GPT-5.4,Arch_Aware,2.0
lama,barman,instance-01.pddl,0.9718324132071081,DeepSeek-R1,Arch_Aware,1.0
lama,barman,instance-02.pddl,0.9919499253020987,DeepSeek-R1,Arch_Aware,1.0
lama,barman,instance-03.pddl,0.9980186046289857,DeepSeek-R1,Arch_Aware,1.0
lama,barman,instance-04.pddl,0.9953994274706751,DeepSeek-R1,Arch_Aware,1.0
lama,barman,instance-07.pddl,0.9784811669738193,DeepSeek-R1,Arch_Aware,1.0
lama,barman,instance-08.pddl,0.9835079319904797,DeepSeek-R1,Arch_Aware,1.0
lama,barman,instance-09.pddl,0.9995714931684687,DeepSeek-R1,Arch_Aware,1.0
lama,barman,instance-11.pddl,0.9956395908705586,DeepSeek-R1,Arch_Aware,1.0
lama,barman,instance-12.pddl,0.9931582174722364,DeepSeek-R1,Arch_Aware,1.0
lama,barman,instance-13.pddl,1.0,DeepSeek-R1,Arch_Aware,1.0
lama,barman,instance-14.pddl,0.9912362631648008,DeepSeek-R1,Arch_Aware,1.0
lama,barman,instance-16.pddl,1.0,DeepSeek-R1,Arch_Aware,1.0
lama,barman,instance-17.pddl,0.9994130413604299,DeepSeek-R1,Arch_Aware,1.0
lama,barman,instance-18.pddl,1.0,DeepSeek-R1,Arch_Aware,1.0
lama,barman,instance-19.pddl,0.9960630512658505,DeepSeek-R1,Arch_Aware,1.0
lama,depots,instance-01.pddl,1.0,DeepSeek-R1,Arch_Aware,1.0
lama,depots,instance-02.pddl,1.0,DeepSeek-R1,Arch_Aware,1.0
lama,depots,instance-03.pddl,1.0,DeepSeek-R1,Arch_Aware,1.0
lama,depots,instance-04.pddl,1.0,DeepSeek-R1,Arch_Aware,1.0
lama,depots,instance-07.pddl,1.0,DeepSeek-R1,Arch_Aware,1.0
lama,depots,instance-08.pddl,1.0,DeepSeek-R1,Arch_Aware,1.0
lama,depots,instance-09.pddl,1.0,DeepSeek-R1,Arch_Aware,1.0
lama,depots,instance-11.pddl,1.0,DeepSeek-R1,Arch_Aware,1.0
lama,depots,instance-12.pddl,0.9992087547543829,DeepSeek-R1,Arch_Aware,1.0
lama,depots,instance-13.pddl,1.0,DeepSeek-R1,Arch_Aware,1.0
lama,depots,instance-14.pddl,1.0,DeepSeek-R1,Arch_Aware,1.0
lama,depots,instance-16.pddl,1.0,DeepSeek-R1,Arch_Aware,1.0
lama,depots,instance-17.pddl,1.0,DeepSeek-R1,Arch_Aware,1.0
lama,depots,instance-18.pddl,1.0,Claude Opus 4.6,Cross_Test,2.0
lama,depots,instance-19.pddl,1.0,DeepSeek-R1,Arch_Aware,1.0
lama,ricochet-robots,instance-01.pddl,0.9949181175798573,Gemini 3.1 Pro,Cross_Test,3.0
lama,ricochet-robots,instance-02.pddl,0.9908559206310713,Gemini 3.1 Pro,Cross_Test,3.0
lama,ricochet-robots,instance-03.pddl,0.992624631017714,Gemini 3.1 Pro,Cross_Test,3.0
lama,ricochet-robots,instance-04.pddl,0.0,Claude Opus 4.6,Arch_Aware,1.0
lama,ricochet-robots,instance-07.pddl,0.9888019273301696,Gemini 3.1 Pro,Cross_Test,3.0
lama,ricochet-robots,instance-08.pddl,0.9861661286490369,Gemini 3.1 Pro,Cross_Test,3.0
lama,ricochet-robots,instance-09.pddl,0.0,Claude Opus 4.6,Arch_Aware,1.0
lama,ricochet-robots,instance-11.pddl,0.0,Claude Opus 4.6,Arch_Aware,1.0
lama,ricochet-robots,instance-12.pddl,0.0,Claude Opus 4.6,Arch_Aware,1.0
lama,ricochet-robots,instance-13.pddl,0.994207783207597,DeepSeek-R1,Arch_Aware,1.0
lama,ricochet-robots,instance-14.pddl,0.9936588757285403,DeepSeek-R1,Arch_Aware,1.0
lama,ricochet-robots,instance-16.pddl,0.0,Claude Opus 4.6,Arch_Aware,1.0
lama,ricochet-robots,instance-17.pddl,0.0,Claude Opus 4.6,Arch_Aware,1.0
lama,ricochet-robots,instance-18.pddl,0.0,Claude Opus 4.6,Arch_Aware,1.0
lama,ricochet-robots,instance-19.pddl,0.0,Claude Opus 4.6,Arch_Aware,1.0
lama,snake,instance-01.pddl,0.9897221081844563,Claude Opus 4.6,Cross_Test,4.0
lama,snake,instance-02.pddl,0.9960112954750735,Claude Opus 4.6,Cross_Test,4.0
lama,snake,instance-03.pddl,0.0,GPT-5.4,Arch_Aware,1.0
lama,snake,instance-04.pddl,0.0,GPT-5.4,Arch_Aware,1.0
lama,snake,instance-07.pddl,0.0,GPT-5.4,Arch_Aware,1.0
lama,snake,instance-08.pddl,0.0,GPT-5.4,Arch_Aware,1.0
lama,snake,instance-09.pddl,0.0,GPT-5.4,Arch_Aware,1.0
lama,snake,instance-11.pddl,0.0,GPT-5.4,Arch_Aware,1.0
lama,snake,instance-12.pddl,0.0,GPT-5.4,Arch_Aware,1.0
lama,snake,instance-13.pddl,0.0,GPT-5.4,Arch_Aware,1.0
lama,snake,instance-14.pddl,0.0,GPT-5.4,Arch_Aware,1.0
lama,snake,instance-16.pddl,0.0,GPT-5.4,Arch_Aware,1.0
lama,snake,instance-17.pddl,0.0,GPT-5.4,Arch_Aware,1.0
lama,snake,instance-18.pddl,0.0,GPT-5.4,Arch_Aware,1.0
lama,snake,instance-19.pddl,0.0,GPT-5.4,Arch_Aware,1.0
lama,visitall,instance-01.pddl,0.9767516291900782,Gemini 3.1 Pro,Arch_Aware,1.0
lama,visitall,instance-02.pddl,0.9713584084684882,Gemini 3.1 Pro,Arch_Aware,1.0
