Planner,Domain,Instance,IPC_Score,LLM,Iteration
decstar,visitall,instance-01.pddl,0.0,DeepSeek-R1,2
decstar,visitall,instance-02.pddl,0.0,DeepSeek-R1,2
decstar,visitall,instance-03.pddl,0.0,DeepSeek-R1,2
decstar,visitall,instance-04.pddl,0.0,DeepSeek-R1,2
decstar,visitall,instance-07.pddl,0.0,DeepSeek-R1,2
decstar,visitall,instance-08.pddl,0.0,DeepSeek-R1,2
decstar,visitall,instance-09.pddl,0.0,DeepSeek-R1,2
decstar,visitall,instance-11.pddl,0.0,DeepSeek-R1,2
decstar,visitall,instance-12.pddl,0.0,DeepSeek-R1,2
decstar,visitall,instance-13.pddl,0.0,DeepSeek-R1,2
decstar,visitall,instance-14.pddl,0.0,DeepSeek-R1,2
decstar,visitall,instance-16.pddl,0.0,DeepSeek-R1,2
decstar,visitall,instance-17.pddl,0.0,DeepSeek-R1,2
decstar,visitall,instance-18.pddl,0.0,DeepSeek-R1,2
decstar,visitall,instance-19.pddl,0.0,DeepSeek-R1,2
lama,barman,instance-01.pddl,1.0,GPT-5.4,1
lama,barman,instance-02.pddl,1.0,Gemini 3.1 Pro,2
lama,barman,instance-03.pddl,1.0,Gemini 3.1 Pro,1
lama,barman,instance-04.pddl,1.0,GPT-5.4,1
lama,barman,instance-07.pddl,1.0,DeepSeek-R1,2
lama,barman,instance-08.pddl,1.0,DeepSeek-R1,2
lama,barman,instance-09.pddl,1.0,DeepSeek-R1,3
lama,barman,instance-11.pddl,1.0,DeepSeek-R1,3
lama,barman,instance-12.pddl,1.0,Claude Opus 4.6,2
lama,barman,instance-13.pddl,0.9975003652470508,DeepSeek-R1,1
lama,barman,instance-14.pddl,1.0,DeepSeek-R1,1
lama,barman,instance-16.pddl,0.9964402963823128,DeepSeek-R1,3
lama,barman,instance-17.pddl,1.0,DeepSeek-R1,2
lama,barman,instance-18.pddl,0.9971369342995594,DeepSeek-R1,2
lama,barman,instance-19.pddl,1.0,Claude Opus 4.6,2
lama,depots,instance-01.pddl,0.979750542971841,Claude Opus 4.6,2
lama,depots,instance-02.pddl,0.9657017988940195,Claude Opus 4.6,3
lama,depots,instance-03.pddl,0.9743598426342931,DeepSeek-R1,1
lama,depots,instance-04.pddl,0.9864126259340253,Claude Opus 4.6,3
lama,depots,instance-07.pddl,0.9717068527432466,Claude Opus 4.6,1
lama,depots,instance-08.pddl,0.9844690803767033,Claude Opus 4.6,3
lama,depots,instance-09.pddl,0.9890307495490582,GPT-5.4,3
lama,depots,instance-11.pddl,0.9937288521461537,Claude Opus 4.6,3
lama,depots,instance-12.pddl,1.0,Gemini 3.1 Pro,2
lama,depots,instance-13.pddl,0.9858727596508965,Gemini 3.1 Pro,2
lama,depots,instance-14.pddl,0.9855849777134011,Gemini 3.1 Pro,2
lama,depots,instance-16.pddl,0.9742010982079319,Gemini 3.1 Pro,2
lama,depots,instance-17.pddl,0.9843623417582409,Claude Opus 4.6,3
lama,depots,instance-18.pddl,0.7245641521456887,Claude Opus 4.6,1
lama,depots,instance-19.pddl,0.9950933508628965,Claude Opus 4.6,1
lama,ricochet-robots,instance-01.pddl,1.0,GPT-5.4,2
lama,ricochet-robots,instance-02.pddl,0.9954897526803147,Gemini 3.1 Pro,3
lama,ricochet-robots,instance-03.pddl,0.9986993636066299,Gemini 3.1 Pro,3
lama,ricochet-robots,instance-04.pddl,0.0,DeepSeek-R1,1
lama,ricochet-robots,instance-07.pddl,0.9987034690022747,Gemini 3.1 Pro,3
lama,ricochet-robots,instance-08.pddl,0.9969250654391596,Claude Opus 4.6,1
lama,ricochet-robots,instance-09.pddl,0.0,DeepSeek-R1,1
lama,ricochet-robots,instance-11.pddl,0.0,DeepSeek-R1,1
lama,ricochet-robots,instance-12.pddl,0.0,DeepSeek-R1,1
lama,ricochet-robots,instance-13.pddl,0.9972671004614635,Gemini 3.1 Pro,3
lama,ricochet-robots,instance-14.pddl,0.9931719632152086,Claude Opus 4.6,1
lama,ricochet-robots,instance-16.pddl,0.0,DeepSeek-R1,1
lama,ricochet-robots,instance-17.pddl,0.0,DeepSeek-R1,1
lama,ricochet-robots,instance-18.pddl,0.0,DeepSeek-R1,1
lama,ricochet-robots,instance-19.pddl,0.0,DeepSeek-R1,1
lama,snake,instance-01.pddl,1.0,DeepSeek-R1,1
lama,snake,instance-02.pddl,1.0,DeepSeek-R1,1
lama,snake,instance-03.pddl,0.0,DeepSeek-R1,1
lama,snake,instance-04.pddl,0.0,DeepSeek-R1,1
lama,snake,instance-07.pddl,0.0,DeepSeek-R1,1
lama,snake,instance-08.pddl,0.0,DeepSeek-R1,1
lama,snake,instance-09.pddl,0.0,DeepSeek-R1,1
lama,snake,instance-11.pddl,0.0,DeepSeek-R1,1
lama,snake,instance-12.pddl,0.0,DeepSeek-R1,1
lama,snake,instance-13.pddl,0.0,DeepSeek-R1,1
lama,snake,instance-14.pddl,0.0,DeepSeek-R1,1
