Planner,Domain,Instance,IPC_Score,LLM
decstar,visitall,instance-01.pddl,0.0,GPT-5.4
decstar,visitall,instance-02.pddl,0.0,GPT-5.4
decstar,visitall,instance-03.pddl,0.0,GPT-5.4
decstar,visitall,instance-04.pddl,0.0,GPT-5.4
decstar,visitall,instance-07.pddl,0.0,GPT-5.4
decstar,visitall,instance-08.pddl,0.0,GPT-5.4
decstar,visitall,instance-09.pddl,0.0,GPT-5.4
decstar,visitall,instance-11.pddl,0.0,GPT-5.4
decstar,visitall,instance-12.pddl,0.0,GPT-5.4
decstar,visitall,instance-13.pddl,0.0,GPT-5.4
decstar,visitall,instance-14.pddl,0.0,GPT-5.4
decstar,visitall,instance-16.pddl,0.0,GPT-5.4
decstar,visitall,instance-17.pddl,0.0,GPT-5.4
decstar,visitall,instance-18.pddl,0.0,GPT-5.4
decstar,visitall,instance-19.pddl,0.0,GPT-5.4
lama,barman,instance-01.pddl,0.9369263505423632,Gemini 3.1 Pro
lama,barman,instance-02.pddl,0.9550925983035992,Gemini 3.1 Pro
lama,barman,instance-03.pddl,0.9699323045070506,Gemini 3.1 Pro
lama,barman,instance-04.pddl,0.9870877283255491,Gemini 3.1 Pro
lama,barman,instance-07.pddl,0.9527169200784241,Gemini 3.1 Pro
lama,barman,instance-08.pddl,0.9633217157297415,Gemini 3.1 Pro
lama,barman,instance-09.pddl,0.9761828487135836,Gemini 3.1 Pro
lama,barman,instance-11.pddl,0.9645472747653812,Gemini 3.1 Pro
lama,barman,instance-12.pddl,0.9775428042912662,Gemini 3.1 Pro
lama,barman,instance-13.pddl,0.9794143334009897,Gemini 3.1 Pro
lama,barman,instance-14.pddl,0.9403416794153168,Gemini 3.1 Pro
lama,barman,instance-16.pddl,0.9830733055367461,Gemini 3.1 Pro
lama,barman,instance-17.pddl,0.957137215841573,Gemini 3.1 Pro
lama,barman,instance-18.pddl,0.9516992594268496,Gemini 3.1 Pro
lama,barman,instance-19.pddl,0.9728934642089564,Gemini 3.1 Pro
lama,depots,instance-01.pddl,0.9258066322829505,DeepSeek-R1
lama,depots,instance-02.pddl,0.9077374089799556,DeepSeek-R1
lama,depots,instance-03.pddl,0.9258656169118329,DeepSeek-R1
lama,depots,instance-04.pddl,0.9428777190230616,Gemini 3.1 Pro
lama,depots,instance-07.pddl,0.917599125623364,Gemini 3.1 Pro
lama,depots,instance-08.pddl,0.9521016634310053,DeepSeek-R1
lama,depots,instance-09.pddl,0.9843286677506787,DeepSeek-R1
lama,depots,instance-11.pddl,0.9766416756649408,Gemini 3.1 Pro
lama,depots,instance-12.pddl,0.9841581338893624,Gemini 3.1 Pro
lama,depots,instance-13.pddl,0.9531628958587198,Gemini 3.1 Pro
lama,depots,instance-14.pddl,0.9425183914928984,DeepSeek-R1
lama,depots,instance-16.pddl,0.9392088641453761,Gemini 3.1 Pro
lama,depots,instance-17.pddl,0.9532344066266125,DeepSeek-R1
lama,depots,instance-18.pddl,0.7196891791254955,Gemini 3.1 Pro
lama,depots,instance-19.pddl,0.9859866494950876,Gemini 3.1 Pro
lama,ricochet-robots,instance-01.pddl,0.9945621502142166,Gemini 3.1 Pro
lama,ricochet-robots,instance-02.pddl,1.0,Gemini 3.1 Pro
lama,ricochet-robots,instance-03.pddl,1.0,Gemini 3.1 Pro
lama,ricochet-robots,instance-04.pddl,0.0,GPT-5.4
lama,ricochet-robots,instance-07.pddl,1.0,Gemini 3.1 Pro
lama,ricochet-robots,instance-08.pddl,1.0,Gemini 3.1 Pro
lama,ricochet-robots,instance-09.pddl,0.0,GPT-5.4
lama,ricochet-robots,instance-11.pddl,0.0,GPT-5.4
lama,ricochet-robots,instance-12.pddl,0.0,GPT-5.4
lama,ricochet-robots,instance-13.pddl,1.0,Gemini 3.1 Pro
lama,ricochet-robots,instance-14.pddl,1.0,Gemini 3.1 Pro
lama,ricochet-robots,instance-16.pddl,0.0,GPT-5.4
lama,ricochet-robots,instance-17.pddl,0.0,GPT-5.4
lama,ricochet-robots,instance-18.pddl,0.0,GPT-5.4
lama,ricochet-robots,instance-19.pddl,0.0,GPT-5.4
lama,snake,instance-01.pddl,0.9698026182020643,Claude Opus 4.6
lama,snake,instance-02.pddl,0.9938650497013418,GPT-5.4
lama,snake,instance-03.pddl,0.0,GPT-5.4
lama,snake,instance-04.pddl,0.0,GPT-5.4
lama,snake,instance-07.pddl,0.0,GPT-5.4
lama,snake,instance-08.pddl,0.0,GPT-5.4
lama,snake,instance-09.pddl,0.0,GPT-5.4
lama,snake,instance-11.pddl,0.0,GPT-5.4
lama,snake,instance-12.pddl,0.0,GPT-5.4
lama,snake,instance-13.pddl,0.0,GPT-5.4
lama,snake,instance-14.pddl,0.0,GPT-5.4
lama,snake,instance-16.pddl,0.0,GPT-5.4
lama,snake,instance-17.pddl,0.0,GPT-5.4
lama,snake,instance-18.pddl,0.0,GPT-5.4
lama,snake,instance-19.pddl,0.0,GPT-5.4
lama,visitall,instance-01.pddl,0.9630262703547351,Gemini 3.1 Pro
lama,visitall,instance-02.pddl,0.9545474936454001,Gemini 3.1 Pro
lama,visitall,instance-03.pddl,0.9651341355645046,GPT-5.4
lama,visitall,instance-04.pddl,0.957877650713258,Claude Opus 4.6
lama,visitall,instance-07.pddl,0.9414539906346844,Gemini 3.1 Pro
lama,visitall,instance-08.pddl,0.9524661157791723,Gemini 3.1 Pro
lama,visitall,instance-09.pddl,0.9278438113419406,GPT-5.4
lama,visitall,instance-11.pddl,0.9239120285987811,GPT-5.4
lama,visitall,instance-12.pddl,0.9333752348758474,GPT-5.4
lama,visitall,instance-13.pddl,0.9251804713671883,Claude Opus 4.6
lama,visitall,instance-14.pddl,0.9254593848377881,Gemini 3.1 Pro
lama,visitall,instance-16.pddl,0.9490246375428305,GPT-5.4
lama,visitall,instance-17.pddl,0.9233346522817896,Gemini 3.1 Pro
lama,visitall,instance-18.pddl,0.9272340004339681,GPT-5.4
lama,visitall,instance-19.pddl,0.9136735786042717,Claude Opus 4.6
madagascar,barman,instance-01.pddl,0.0,GPT-5.4
madagascar,barman,instance-02.pddl,0.0,GPT-5.4
madagascar,barman,instance-03.pddl,0.0,GPT-5.4
madagascar,barman,instance-04.pddl,0.5198738102791008,Claude Opus 4.6
madagascar,barman,instance-07.pddl,0.0,GPT-5.4
madagascar,barman,instance-08.pddl,0.0,GPT-5.4
madagascar,barman,instance-09.pddl,0.7739537000257762,Claude Opus 4.6
madagascar,barman,instance-11.pddl,0.8792660073148972,Claude Opus 4.6
madagascar,barman,instance-12.pddl,0.0,GPT-5.4
madagascar,barman,instance-13.pddl,0.0,GPT-5.4
madagascar,barman,instance-14.pddl,0.5483950762930209,GPT-5.4
madagascar,barman,instance-16.pddl,0.4214429877580604,Gemini 3.1 Pro
madagascar,barman,instance-17.pddl,0.4983056309326917,Gemini 3.1 Pro
madagascar,barman,instance-18.pddl,0.4190010707402382,Gemini 3.1 Pro
madagascar,barman,instance-19.pddl,0.0,GPT-5.4
madagascar,depots,instance-01.pddl,0.9085813691021002,Claude Opus 4.6
madagascar,depots,instance-02.pddl,0.8905380466822111,DeepSeek-R1
madagascar,depots,instance-03.pddl,0.8574446745700555,DeepSeek-R1
madagascar,depots,instance-04.pddl,0.8998153343890595,Gemini 3.1 Pro
madagascar,depots,instance-07.pddl,0.8972144825391639,DeepSeek-R1
madagascar,depots,instance-08.pddl,0.9021101849694645,GPT-5.4
madagascar,depots,instance-09.pddl,0.8940615355003734,GPT-5.4
madagascar,depots,instance-11.pddl,0.8902752653811793,DeepSeek-R1
madagascar,depots,instance-12.pddl,0.9053993407533295,Claude Opus 4.6
madagascar,depots,instance-13.pddl,0.9115313811975024,GPT-5.4
madagascar,depots,instance-14.pddl,0.9103496907961447,DeepSeek-R1
madagascar,depots,instance-16.pddl,0.8926685301285038,DeepSeek-R1
madagascar,depots,instance-17.pddl,0.9211423398201034,GPT-5.4
madagascar,depots,instance-18.pddl,0.9362212783935269,GPT-5.4
madagascar,depots,instance-19.pddl,0.9004795776832841,DeepSeek-R1
madagascar,ricochet-robots,instance-01.pddl,0.0,GPT-5.4
madagascar,ricochet-robots,instance-02.pddl,0.0,GPT-5.4
madagascar,ricochet-robots,instance-03.pddl,0.0,GPT-5.4
madagascar,ricochet-robots,instance-04.pddl,0.0,GPT-5.4
madagascar,ricochet-robots,instance-07.pddl,0.0,GPT-5.4
madagascar,ricochet-robots,instance-08.pddl,0.0,GPT-5.4
madagascar,ricochet-robots,instance-09.pddl,0.0,GPT-5.4
madagascar,ricochet-robots,instance-11.pddl,0.0,GPT-5.4
madagascar,ricochet-robots,instance-12.pddl,0.0,GPT-5.4
madagascar,ricochet-robots,instance-13.pddl,0.0,GPT-5.4
madagascar,ricochet-robots,instance-14.pddl,0.0,GPT-5.4
madagascar,ricochet-robots,instance-16.pddl,0.0,GPT-5.4
madagascar,ricochet-robots,instance-17.pddl,0.0,GPT-5.4
madagascar,ricochet-robots,instance-18.pddl,0.0,GPT-5.4
madagascar,ricochet-robots,instance-19.pddl,0.0,GPT-5.4
madagascar,snake,instance-01.pddl,0.980085075818819,DeepSeek-R1
madagascar,snake,instance-02.pddl,0.888578616073022,GPT-5.4
madagascar,snake,instance-03.pddl,0.9483420045216849,GPT-5.4
madagascar,snake,instance-04.pddl,0.0,GPT-5.4
madagascar,snake,instance-07.pddl,0.949431533764303,Gemini 3.1 Pro
madagascar,snake,instance-08.pddl,1.0,Claude Opus 4.6
madagascar,snake,instance-09.pddl,1.0,Gemini 3.1 Pro
madagascar,snake,instance-11.pddl,0.9695070550948207,Gemini 3.1 Pro
madagascar,snake,instance-12.pddl,1.0,Gemini 3.1 Pro
madagascar,snake,instance-13.pddl,0.0,GPT-5.4
madagascar,snake,instance-14.pddl,0.0,GPT-5.4
madagascar,snake,instance-16.pddl,0.0,GPT-5.4
madagascar,snake,instance-17.pddl,0.0,GPT-5.4
madagascar,snake,instance-18.pddl,0.0,GPT-5.4
madagascar,snake,instance-19.pddl,0.0,GPT-5.4
madagascar,visitall,instance-01.pddl,0.0,GPT-5.4
madagascar,visitall,instance-02.pddl,0.0,GPT-5.4
madagascar,visitall,instance-03.pddl,0.0,GPT-5.4
madagascar,visitall,instance-04.pddl,0.0,GPT-5.4
madagascar,visitall,instance-07.pddl,0.0,GPT-5.4
madagascar,visitall,instance-08.pddl,0.0,GPT-5.4
madagascar,visitall,instance-09.pddl,0.0,GPT-5.4
madagascar,visitall,instance-11.pddl,0.0,GPT-5.4
madagascar,visitall,instance-12.pddl,0.0,GPT-5.4
madagascar,visitall,instance-13.pddl,0.0,GPT-5.4
madagascar,visitall,instance-14.pddl,0.0,GPT-5.4
madagascar,visitall,instance-16.pddl,0.0,GPT-5.4
madagascar,visitall,instance-17.pddl,0.0,GPT-5.4
madagascar,visitall,instance-18.pddl,0.0,GPT-5.4
madagascar,visitall,instance-19.pddl,0.0,GPT-5.4
